# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1415061909;-1;4.36;0.00;0.76;0.03;0.00;94.86
axle;60;1415061909;0;4.33;0.00;0.70;0.50;0.00;94.47
axle;60;1415061909;1;2.42;0.00;0.30;0.25;0.00;97.02
axle;60;1415061909;2;0.77;0.00;0.15;0.00;0.00;99.08
axle;60;1415061909;3;0.12;0.00;0.20;0.00;0.00;99.68
axle;60;1415061909;4;0.08;0.00;0.10;0.10;0.00;99.72
axle;60;1415061909;5;3.84;0.00;0.05;0.00;0.00;96.11
axle;60;1415061909;6;0.08;0.00;0.30;0.08;0.00;99.53
axle;60;1415061909;7;31.53;0.00;0.12;0.17;0.00;68.19
axle;60;1415061909;8;99.28;0.00;0.40;0.00;0.00;0.32
axle;60;1415061909;9;1.83;0.00;0.37;0.00;0.00;97.80
axle;60;1415061909;10;0.99;0.00;0.50;0.00;0.00;98.51
axle;60;1415061909;11;0.42;0.00;0.23;0.00;0.00;99.35
axle;60;1415061909;12;3.23;0.00;2.38;0.00;0.00;94.39
axle;60;1415061909;13;1.84;0.00;1.00;0.00;0.00;97.16
axle;60;1415061909;14;1.04;0.00;0.44;0.00;0.00;98.53
axle;60;1415061909;15;0.88;0.00;0.20;0.22;0.00;98.70
axle;60;1415061909;16;4.73;0.00;0.87;0.02;0.00;94.39
axle;60;1415061909;17;0.33;0.00;0.33;0.00;0.00;99.33
axle;60;1415061909;18;0.17;0.00;0.55;0.02;0.00;99.27
axle;60;1415061909;19;0.28;0.00;0.23;0.00;0.00;99.48
axle;60;1415061909;20;22.85;0.00;8.39;0.00;0.00;68.76
axle;60;1415061909;21;0.12;0.00;0.08;0.00;0.00;99.80
axle;60;1415061909;22;0.07;0.00;0.38;0.00;0.00;99.55
axle;60;1415061909;23;0.08;0.00;0.07;0.00;0.00;99.85
axle;60;1415061909;24;1.24;0.00;0.97;0.00;0.00;97.79
axle;60;1415061909;25;4.30;0.00;0.37;0.00;0.00;95.33
axle;60;1415061909;26;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415061909;27;0.07;0.00;0.03;0.00;0.00;99.90
axle;60;1415061909;28;0.03;0.00;0.08;0.00;0.00;99.88
axle;60;1415061909;29;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415061909;30;0.07;0.00;0.02;0.00;0.00;99.92
axle;60;1415061909;31;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415061909;32;53.99;0.00;0.05;0.45;0.00;45.51
axle;60;1415061909;33;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415061909;34;4.13;0.00;0.03;0.00;0.00;95.83
axle;60;1415061909;35;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415061909;36;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415061909;37;0.05;0.00;0.02;0.00;0.00;99.93
axle;60;1415061909;38;0.03;0.00;0.00;0.00;0.00;99.97
axle;60;1415061909;39;0.18;0.00;0.05;0.00;0.00;99.77
axle;60;1415061909;40;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061909;41;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415061909;42;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061909;43;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061909;44;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061909;45;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061909;46;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061909;47;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061909;48;0.03;0.00;0.08;0.00;0.00;99.88
axle;60;1415061909;49;11.65;0.00;4.40;0.00;0.00;83.95
axle;60;1415061909;50;2.62;0.00;6.72;0.00;0.00;90.67
axle;60;1415061909;51;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415061909;52;3.62;0.00;3.00;0.00;0.00;93.38
axle;60;1415061909;53;2.35;0.00;0.53;0.02;0.00;97.10
axle;60;1415061909;54;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061909;55;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415061909;56;0.10;0.00;0.07;0.00;0.00;99.83
axle;60;1415061909;57;0.18;0.00;0.08;0.00;0.00;99.73
axle;60;1415061909;58;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415061909;59;5.72;0.00;7.80;0.00;0.00;86.48
axle;60;1415061909;60;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415061909;61;0.05;0.00;0.07;0.00;0.00;99.88
axle;60;1415061909;62;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415061909;63;6.85;0.00;5.37;0.00;0.00;87.78
axle;60;1415061969;-1;4.66;0.00;0.45;0.01;0.00;94.87
axle;60;1415061969;0;0.87;0.00;0.25;0.32;0.00;98.56
axle;60;1415061969;1;0.20;0.00;0.10;0.07;0.00;99.63
axle;60;1415061969;2;0.92;0.00;0.20;0.00;0.00;98.88
axle;60;1415061969;3;0.10;0.00;0.65;0.00;0.00;99.25
axle;60;1415061969;4;0.08;0.00;0.05;0.00;0.00;99.87
axle;60;1415061969;5;0.07;0.00;0.08;0.00;0.00;99.85
axle;60;1415061969;6;0.07;0.00;0.03;0.00;0.00;99.90
axle;60;1415061969;7;93.77;0.00;0.20;0.17;0.00;5.87
axle;60;1415061969;8;99.63;0.00;0.37;0.00;0.00;0.00
axle;60;1415061969;9;1.56;0.00;0.35;0.00;0.00;98.09
axle;60;1415061969;10;1.72;0.00;0.48;0.00;0.00;97.80
axle;60;1415061969;11;0.85;0.00;0.25;0.00;0.00;98.90
axle;60;1415061969;12;0.92;0.00;0.54;0.00;0.00;98.54
axle;60;1415061969;13;0.08;0.00;0.15;0.00;0.00;99.77
axle;60;1415061969;14;0.64;0.00;0.57;0.00;0.00;98.79
axle;60;1415061969;15;2.64;0.00;0.53;0.08;0.00;96.74
axle;60;1415061969;16;0.12;0.00;0.08;0.00;0.00;99.80
axle;60;1415061969;17;0.10;0.00;0.08;0.00;0.00;99.82
axle;60;1415061969;18;0.10;0.00;0.07;0.00;0.00;99.83
axle;60;1415061969;19;0.52;0.00;0.22;0.00;0.00;99.27
axle;60;1415061969;20;72.55;0.00;14.85;0.00;0.00;12.60
axle;60;1415061969;21;0.08;0.00;0.07;0.00;0.00;99.85
axle;60;1415061969;22;0.08;0.00;0.00;0.00;0.00;99.92
axle;60;1415061969;23;0.13;0.00;0.05;0.00;0.00;99.82
axle;60;1415061969;24;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415061969;25;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415061969;26;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;27;0.07;0.00;0.02;0.00;0.00;99.92
axle;60;1415061969;28;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415061969;29;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415061969;30;0.05;0.00;0.00;0.00;0.00;99.95
axle;60;1415061969;31;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415061969;32;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;33;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415061969;34;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;35;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415061969;36;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415061969;37;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415061969;38;0.05;0.00;0.00;0.00;0.00;99.95
axle;60;1415061969;39;5.82;0.00;0.05;0.00;0.00;94.13
axle;60;1415061969;40;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;41;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415061969;42;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;43;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;44;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;45;0.03;0.00;0.53;0.00;0.00;99.43
axle;60;1415061969;46;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;47;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;48;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;49;0.05;0.00;0.52;0.00;0.00;99.43
axle;60;1415061969;50;2.45;0.00;6.57;0.00;0.00;90.98
axle;60;1415061969;51;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415061969;52;11.47;0.00;0.87;0.00;0.00;87.66
axle;60;1415061969;53;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415061969;54;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;55;0.08;0.00;0.02;0.00;0.00;99.90
axle;60;1415061969;56;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;57;0.12;0.00;0.05;0.00;0.00;99.83
axle;60;1415061969;58;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415061969;59;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415061969;60;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415061969;61;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415061969;62;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415061969;63;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062029;-1;4.59;0.00;0.59;0.00;0.00;94.81
axle;60;1415062029;0;1.07;0.00;0.22;0.00;0.00;98.71
axle;60;1415062029;1;0.23;0.00;0.22;0.05;0.00;99.50
axle;60;1415062029;2;0.83;0.00;0.18;0.00;0.00;98.98
axle;60;1415062029;3;0.17;0.00;0.27;0.00;0.00;99.57
axle;60;1415062029;4;0.15;0.00;0.12;0.00;0.00;99.73
axle;60;1415062029;5;0.10;0.00;0.08;0.00;0.00;99.82
axle;60;1415062029;6;0.15;0.00;0.07;0.00;0.00;99.78
axle;60;1415062029;7;0.05;0.00;0.02;0.00;0.00;99.93
axle;60;1415062029;8;99.67;0.00;0.33;0.00;0.00;0.00
axle;60;1415062029;9;0.25;0.00;0.10;0.00;0.00;99.65
axle;60;1415062029;10;0.94;0.00;0.60;0.00;0.00;98.46
axle;60;1415062029;11;1.12;0.00;0.55;0.00;0.00;98.33
axle;60;1415062029;12;0.35;0.00;0.30;0.00;0.00;99.35
axle;60;1415062029;13;3.23;0.00;1.02;0.00;0.00;95.75
axle;60;1415062029;14;1.05;0.00;0.32;0.00;0.00;98.63
axle;60;1415062029;15;1.50;0.00;0.38;0.00;0.00;98.11
axle;60;1415062029;16;0.03;0.00;0.05;0.00;0.00;99.92
axle;60;1415062029;17;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415062029;18;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415062029;19;0.33;0.00;0.05;0.00;0.00;99.62
axle;60;1415062029;20;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415062029;21;0.10;0.00;0.03;0.00;0.00;99.87
axle;60;1415062029;22;7.27;0.00;6.90;0.00;0.00;85.83
axle;60;1415062029;23;0.05;0.00;0.05;0.00;0.00;99.90
axle;60;1415062029;24;49.98;0.00;0.13;0.10;0.00;49.78
axle;60;1415062029;25;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415062029;26;0.03;0.00;0.00;0.00;0.00;99.97
axle;60;1415062029;27;0.03;0.00;0.00;0.00;0.00;99.97
axle;60;1415062029;28;0.02;0.00;0.05;0.00;0.00;99.93
axle;60;1415062029;29;0.03;0.00;0.07;0.00;0.00;99.90
axle;60;1415062029;30;0.05;0.00;0.00;0.00;0.00;99.95
axle;60;1415062029;31;0.00;0.00;1.60;0.00;0.00;98.40
axle;60;1415062029;32;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062029;33;0.02;0.00;0.05;0.00;0.00;99.93
axle;60;1415062029;34;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415062029;35;50.94;0.00;6.97;0.00;0.00;42.09
axle;60;1415062029;36;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415062029;37;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062029;38;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415062029;39;48.70;0.00;0.08;0.13;0.00;51.08
axle;60;1415062029;40;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062029;41;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062029;42;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062029;43;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062029;44;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062029;45;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062029;46;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062029;47;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415062029;48;0.27;0.00;0.65;0.00;0.00;99.08
axle;60;1415062029;49;0.03;0.00;0.62;0.00;0.00;99.35
axle;60;1415062029;50;2.57;0.00;7.01;0.00;0.00;90.42
axle;60;1415062029;51;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415062029;52;4.77;0.00;0.05;0.00;0.00;95.18
axle;60;1415062029;53;0.07;0.00;0.05;0.00;0.00;99.88
axle;60;1415062029;54;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415062029;55;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415062029;56;0.90;0.00;0.03;0.00;0.00;99.07
axle;60;1415062029;57;16.41;0.00;8.01;0.00;0.00;75.58
axle;60;1415062029;58;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062029;59;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062029;60;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415062029;61;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415062029;62;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415062029;63;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;-1;4.62;0.00;0.55;0.00;0.00;94.83
axle;60;1415062089;0;1.15;0.00;0.28;0.00;0.00;98.56
axle;60;1415062089;1;0.30;0.00;0.23;0.07;0.00;99.40
axle;60;1415062089;2;0.97;0.00;0.20;0.00;0.00;98.83
axle;60;1415062089;3;0.12;0.00;0.08;0.00;0.00;99.80
axle;60;1415062089;4;0.17;0.00;0.12;0.00;0.00;99.72
axle;60;1415062089;5;0.13;0.00;0.60;0.00;0.00;99.27
axle;60;1415062089;6;0.18;0.00;0.07;0.00;0.00;99.75
axle;60;1415062089;7;0.08;0.00;0.03;0.00;0.00;99.88
axle;60;1415062089;8;99.58;0.00;0.42;0.00;0.00;0.00
axle;60;1415062089;9;0.87;0.00;0.25;0.00;0.00;98.88
axle;60;1415062089;10;1.04;0.00;0.60;0.00;0.00;98.36
axle;60;1415062089;11;1.20;0.00;0.53;0.00;0.00;98.26
axle;60;1415062089;12;1.46;0.00;0.52;0.00;0.00;98.03
axle;60;1415062089;13;1.14;0.00;0.48;0.00;0.00;98.38
axle;60;1415062089;14;1.72;0.00;0.45;0.00;0.00;97.83
axle;60;1415062089;15;1.12;0.00;0.42;0.00;0.00;98.46
axle;60;1415062089;16;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415062089;17;0.05;0.00;0.00;0.00;0.00;99.95
axle;60;1415062089;18;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415062089;19;0.03;0.00;0.07;0.00;0.00;99.90
axle;60;1415062089;20;0.08;0.00;0.03;0.00;0.00;99.88
axle;60;1415062089;21;0.18;0.00;0.10;0.00;0.00;99.72
axle;60;1415062089;22;7.74;0.00;5.21;0.00;0.00;87.05
axle;60;1415062089;23;0.07;0.00;0.07;0.00;0.00;99.87
axle;60;1415062089;24;96.73;0.00;0.18;0.17;0.00;2.92
axle;60;1415062089;25;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415062089;26;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415062089;27;2.70;0.00;0.00;0.00;0.00;97.30
axle;60;1415062089;28;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415062089;29;0.03;0.00;0.02;0.00;0.00;99.95
axle;60;1415062089;30;0.03;0.00;0.00;0.00;0.00;99.97
axle;60;1415062089;31;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062089;32;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062089;33;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415062089;34;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415062089;35;48.05;0.00;7.17;0.00;0.00;44.78
axle;60;1415062089;36;0.03;0.00;0.00;0.00;0.00;99.97
axle;60;1415062089;37;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415062089;38;24.71;0.00;9.12;0.00;0.00;66.17
axle;60;1415062089;39;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062089;40;0.10;0.00;0.03;0.00;0.00;99.87
axle;60;1415062089;41;0.00;0.00;0.02;0.00;0.00;99.98
axle;60;1415062089;42;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062089;43;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;44;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;45;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;46;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;47;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062089;48;0.03;0.00;0.03;0.00;0.00;99.93
axle;60;1415062089;49;0.03;0.00;0.57;0.00;0.00;99.40
axle;60;1415062089;50;2.65;0.00;6.83;0.00;0.00;90.52
axle;60;1415062089;51;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;52;0.07;0.00;0.07;0.00;0.00;99.87
axle;60;1415062089;53;0.05;0.00;0.03;0.00;0.00;99.92
axle;60;1415062089;54;0.02;0.00;0.02;0.00;0.00;99.97
axle;60;1415062089;55;0.02;0.00;0.03;0.00;0.00;99.95
axle;60;1415062089;56;0.17;0.00;0.05;0.00;0.00;99.78
axle;60;1415062089;57;0.05;0.00;0.02;0.00;0.00;99.93
axle;60;1415062089;58;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;59;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;60;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;61;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;62;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062089;63;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062149;-1;4.69;0.00;0.48;0.01;0.00;94.83
axle;60;1415062149;0;1.22;0.00;0.32;0.02;0.00;98.45
axle;60;1415062149;1;0.47;0.00;0.23;0.02;0.00;99.28
axle;60;1415062149;2;0.83;0.00;0.17;0.00;0.00;99.00
axle;60;1415062149;3;0.18;0.00;0.05;0.00;0.00;99.77
axle;60;1415062149;4;0.10;0.00;0.12;0.00;0.00;99.78
axle;60;1415062149;5;0.17;0.00;0.05;0.00;0.00;99.78
axle;60;1415062149;6;0.17;0.00;0.10;0.00;0.00;99.73
axle;60;1415062149;7;0.08;0.00;0.08;0.00;0.00;99.83
axle;60;1415062149;8;99.55;0.00;0.45;0.00;0.00;0.00
axle;60;1415062149;9;0.79;0.00;0.25;0.02;0.00;98.95
axle;60;1415062149;10;0.13;0.00;0.10;0.00;0.00;99.77
axle;60;1415062149;11;0.40;0.00;0.25;0.00;0.00;99.35
axle;60;1415062149;12;1.14;0.00;0.64;0.02;0.00;98.21
axle;60;1415062149;13;0.32;0.00;0.57;0.00;0.00;99.11
axle;60;1415062149;14;0.64;0.00;0.57;0.00;0.00;98.79
axle;60;1415062149;15;5.03;0.00;0.85;0.00;0.00;94.12
axle;60;1415062149;16;0.08;0.00;0.03;0.00;0.00;99.88
axle;60;1415062149;17;0.08;0.00;0.03;0.00;0.00;99.88
axle;60;1415062149;18;0.07;0.00;0.03;0.00;0.00;99.90
axle;60;1415062149;19;0.08;0.00;0.03;0.00;0.00;99.88
axle;60;1415062149;20;0.05;0.00;0.00;0.00;0.00;99.95
axle;60;1415062149;21;0.20;0.00;0.13;0.00;0.00;99.67
axle;60;1415062149;22;0.08;0.00;0.03;0.00;0.00;99.88
axle;60;1415062149;23;0.08;0.00;0.05;0.00;0.00;99.87
axle;60;1415062149;24;0.00;0.00;0.00;0.00;0.00;100.00
axle;60;1415062149;25;0.05;0.00;0.00;0.00;0.00;99.95
axle;60;1415062149;26;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062149;27;99.38;0.00;0.23;0.38;0.00;0.00
axle;60;1415062149;28;0.02;0.00;0.00;0.00;0.00;99.98
axle;60;1415062149;29;0.07;0.00;0.03;0.00;0.00;99.90
axle;60;1415062149;30;0.03;0.00;0.00;0.00;0.00;99.97
